lesson_id,topic_id,course_id,track_id,profession_id,faculty_id
f8387a47-b72c-4a45-bc8d-d7f42620b453,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
b2ac1926-4774-43ad-96b3-47bd6b1ae4db,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
b8e6768c-7c8c-4341-a574-58db0f5a9f78,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
60d00a83-d7fb-4586-8de1-32a35e423151,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
d3411784-3562-41f3-aeff-143b9635b308,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
55c2159c-4fd8-4b83-928b-f2501300fc6f,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
593bb0c4-615a-4444-ae75-721765e8e631,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
4a1cae49-892d-47aa-a8fd-375eae7ec669,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
6a3aab2c-de51-497e-a8e1-f623ff1e7e1a,8c4fff68-9086-4ba9-a88e-a9bdc8f9a101,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
6779c998-b24e-449f-b08c-d42a95866e6f,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
5f3a7193-1e8c-4c14-a00f-3258320dfb2a,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
013226e7-9e4d-4676-a3d9-e81fc7722940,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
07d31cc2-4584-47e0-a684-b6672c230b92,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
ab46af76-30e4-4f89-931d-e2cd47745e14,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
1a119d92-1849-4d96-9f7f-978175166802,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
350d43db-5c51-46ef-9590-f1ebae183564,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
018a84ec-b4ba-489b-b317-c576edbe9778,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
498511af-ded4-433d-b9bf-6f34b8196bfe,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
90b0285d-e8ea-4f48-a362-80d3b7c9bb4b,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
07474696-9369-48db-91c2-d5ec0af81bf7,adf1bbf5-3c9c-4351-909a-010d97e21018,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
aa99deb0-b81e-4c1e-a8ad-76715b6d2692,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
f2648f7e-08c2-4253-b25b-d2f9f4a3f94c,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
0ab0d928-0d4d-4526-a55a-fac34a839488,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
c5d0f277-32d0-43ff-b216-c2cad78afbc8,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
ceb63b98-44da-4504-b4dc-b95d0700bddd,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
35cc1373-0803-4d4a-b451-c7140e09de4e,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
c0121344-a782-4071-b28e-e594f22fc374,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
95535e37-e4b6-4517-941a-b8af2d8dfc1a,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
05a9968a-8411-4d69-9f4d-856c30b160d6,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
bab39290-8f66-4ece-b32f-a6f002519069,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
0e93fe49-484a-4257-8cf5-b8cfa66acd0d,9ea1406f-3b3f-4007-bdca-c63fedcca1f4,1c798242-b45a-4eaa-a275-655a46ffa72d,9cd49158-9673-4f2e-b437-e84d7b8c76f3,202df073-ce61-4a8f-94bd-ff637ef9bccb,81145820-8628-4f10-b9df-19678ce626d4
